"person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length","log_person_income"
22,59000,"RENT",NA,"PERSONAL","D",35000,16.02,"1",0.59,"Y",3,10.9852927228879
24,54400,"RENT",8,"MEDICAL","C",35000,14.27,"1",0.55,"Y",4,10.904119432844
21,10000,"OWN",6,"VENTURE","D",1600,14.74,"1",0.16,"N",3,9.21034037197618
25,162500,"RENT",2,"VENTURE","A",35000,7.49,"0",0.22,"N",4,11.9984332807519
22,80000,"RENT",3,"PERSONAL","D",33950,14.54,"1",0.42,"Y",4,11.289781913656
25,120000,"RENT",2,"VENTURE","A",32000,6.62,"0",0.27,"N",2,11.6952470217642
24,64000,"RENT",8,"DEBTCONSOLIDATION","D",30000,14.54,"1",0.47,"Y",3,11.0666383623418
25,75000,"RENT",4,"HOMEIMPROVEMENT","D",30000,16.89,"1",0.4,"Y",4,11.2252433925184
23,71500,"RENT",3,"DEBTCONSOLIDATION","D",30000,NA,"1",0.42,"N",4,11.1774527286821
24,12000,"OWN",4,"VENTURE","B",2500,12.69,"1",0.21,"N",3,9.39266192877014
26,3e+05,"OWN",9,"HOMEIMPROVEMENT","B",10000,10.38,"0",0.03,"N",4,12.6115377536383
26,89028,"RENT",0,"DEBTCONSOLIDATION","A",30000,6.62,"1",0.34,"N",3,11.3967062059775
25,120000,"RENT",9,"EDUCATION","A",30000,7.9,"0",0.25,"N",4,11.6952470217642
26,277104,"RENT",0,"VENTURE","B",20000,11.48,"0",0.07,"N",3,12.5321481659688
25,128000,"RENT",9,"PERSONAL","A",30000,7.29,"0",0.23,"N",4,11.7597855429018
22,275000,"OWN",6,"VENTURE","B",12000,11.58,"0",0.04,"N",2,12.5245263766487
25,259000,"MORTGAGE",9,"HOMEIMPROVEMENT","D",20000,14.42,"0",0.08,"Y",2,12.4645833406817
24,250000,"RENT",2,"EDUCATION","C",18000,12.98,"0",0.07,"Y",3,12.4292161968444
25,1e+05,"RENT",5,"DEBTCONSOLIDATION","B",28000,12.69,"0",0.28,"N",3,11.5129254649702
23,120000,"RENT",1,"EDUCATION","B",25600,12.69,"0",0.21,"N",3,11.6952470217642
23,83000,"RENT",7,"EDUCATION","B",25300,10.99,"1",0.3,"N",3,11.3265958867787
24,41000,"RENT",2,"HOMEIMPROVEMENT","D",25000,NA,"1",0.61,"N",3,10.6213273456864
25,12816,"OWN",0,"DEBTCONSOLIDATION","C",3000,12.87,"1",0.23,"Y",4,9.45844966930814
24,12960,"MORTGAGE",1,"HOMEIMPROVEMENT","B",3650,9.91,"1",0.28,"N",3,9.46962296990626
24,12960,"MORTGAGE",0,"DEBTCONSOLIDATION","B",4500,11.83,"1",0.35,"N",4,9.46962296990626
23,216000,"MORTGAGE",5,"DEBTCONSOLIDATION","A",21000,8.9,"0",0.1,"N",3,12.2830336866663
23,215000,"MORTGAGE",7,"MEDICAL","C",35000,14.79,"0",0.16,"Y",3,12.2783933071098
23,55000,"RENT",4,"EDUCATION","B",25000,11.36,"1",0.45,"N",3,10.9150884642146
24,2e+05,"RENT",8,"MEDICAL","B",12000,12.69,"0",0.06,"N",2,12.2060726455302
24,2e+05,"MORTGAGE",8,"HOMEIMPROVEMENT","C",12000,13.49,"0",0.06,"N",2,12.2060726455302
24,66000,"RENT",3,"EDUCATION","B",25000,9.91,"1",0.38,"N",2,11.0974100210086
NA,2e+05,"MORTGAGE",4,"EDUCATION","B",6000,11.86,"0",0.03,"N",2,12.2060726455302
25,2e+05,"MORTGAGE",9,"PERSONAL","C",23050,14.35,"0",0.12,"N",3,12.2060726455302
24,68000,"RENT",5,"PERSONAL","D",25000,14.09,"1",0.37,"Y",3,11.1272629841582
22,14400,"OWN",2,"MEDICAL","B",4000,10.99,"1",0.28,"N",3,9.57498348556409
21,192000,"MORTGAGE",NA,"VENTURE","A",20000,6.54,"0",0.1,"N",4,12.1652506510099
23,189996,"OWN",0,"PERSONAL","B",24000,11.83,"0",0.13,"N",3,12.1547582982894
23,78000,"RENT",7,"DEBTCONSOLIDATION","C",25000,NA,"1",0.32,"Y",2,11.2644641056717
21,14400,"OWN",4,"VENTURE","C",6250,14.72,"1",0.43,"N",2,9.57498348556409
26,185000,"OWN",10,"PERSONAL","A",5000,7.68,"0",0.03,"N",2,12.1281111040605
24,184992,"RENT",7,"HOMEIMPROVEMENT","D",22000,14.46,"0",0.12,"Y",4,12.1280678598822
24,183000,"MORTGAGE",2,"MEDICAL","B",20000,11.49,"0",0.11,"N",3,12.1172414318236
24,83000,"RENT",5,"EDUCATION","B",25000,11.12,"0",0.3,"N",3,11.3265958867787
23,78000,"RENT",2,"VENTURE","D",25000,16.32,"1",0.32,"Y",3,11.2644641056717
23,93600,"RENT",3,"VENTURE","D",25000,15.21,"0",0.27,"N",4,11.4467856624657
26,88000,"RENT",2,"VENTURE","D",25000,15.65,"1",0.28,"N",3,11.3850920934603
23,15000,"MORTGAGE",0,"PERSONAL","C",3600,13.47,"1",0.24,"N",4,9.61580548008435
25,174708,"RENT",9,"VENTURE","B",9000,10.59,"0",0.05,"N",3,12.0708712878613
25,162000,"MORTGAGE",5,"DEBTCONSOLIDATION","E",25000,16,"1",0.15,"Y",3,11.9953516142145
21,15000,"OWN",0,"HOMEIMPROVEMENT","C",3175,11.54,"1",0.21,"Y",3,9.61580548008435
21,15120,"MORTGAGE",0,"EDUCATION","B",1500,10.59,"0",0.1,"N",2,9.62377364973352
22,100580,"RENT",6,"DEBTCONSOLIDATION","D",25000,14.96,"1",0.25,"Y",2,11.518708709726
21,15600,"OWN",5,"VENTURE","A",1000,7.29,"0",0.06,"N",4,9.65502619323763
22,169000,"RENT",1,"PERSONAL","B",14000,11.14,"0",0.08,"N",3,12.0376539939052
24,134000,"RENT",8,"PERSONAL","D",25000,16.07,"0",0.19,"Y",3,11.805595078933
23,16000,"OWN",7,"PERSONAL","A",2000,6.39,"0",0.13,"N",3,9.68034400122192
24,16020,"OWN",3,"VENTURE","E",3625,17.14,"1",0.23,"Y",2,9.68159322062235
22,16200,"OWN",6,"PERSONAL","B",2000,12.42,"0",0.12,"N",3,9.69276652122048
26,161000,"RENT",10,"VENTURE","A",30000,7.9,"0",0.19,"N",4,11.9891596439666
25,49500,"RENT",6,"PERSONAL","C",24750,14.22,"1",0.5,"N",3,10.8097279485568
23,160000,"MORTGAGE",5,"PERSONAL","A",35000,7.66,"0",0.22,"N",2,11.982929094216
24,160000,"MORTGAGE",9,"VENTURE","E",12000,16.77,"0",0.07,"N",4,11.982929094216
25,160000,"MORTGAGE",1,"PERSONAL","B",12000,9.63,"0",0.07,"N",4,11.982929094216
25,125800,"MORTGAGE",0,"MEDICAL","D",10000,14.09,"1",0.07,"N",4,11.7424486232485
26,56045,"RENT",1,"MEDICAL","D",24250,14.96,"1",0.37,"N",2,10.9339102184552
24,65453,"RENT",9,"MEDICAL","D",24250,15.7,"1",0.31,"N",2,11.089087606804
26,160000,"MORTGAGE",0,"DEBTCONSOLIDATION","C",13750,NA,"0",0.09,"N",4,11.982929094216
25,160000,"MORTGAGE",3,"VENTURE","C",20000,13.47,"0",0.13,"Y",2,11.982929094216
23,47004,"RENT",1,"VENTURE","B",24000,11.58,"1",0.51,"N",4,10.7579879834538
23,66000,"RENT",6,"VENTURE","A",24000,NA,"1",0.36,"N",4,11.0974100210086
24,75000,"RENT",9,"MEDICAL","B",24000,10.37,"1",0.32,"N",3,11.2252433925184
23,74700,"RENT",6,"PERSONAL","D",24000,12.92,"1",0.32,"N",2,11.2212353711209
26,88596,"RENT",3,"PERSONAL","B",24000,11.58,"0",0.27,"N",3,11.3918419888472
22,98000,"RENT",7,"DEBTCONSOLIDATION","F",24000,NA,"1",0.24,"Y",2,11.4927227576527
26,108000,"RENT",9,"EDUCATION","G",24000,20.16,"1",0.22,"N",3,11.5898865061064
23,18000,"MORTGAGE",1,"MEDICAL","D",2500,15.95,"1",0.14,"N",2,9.7981270368783
26,148000,"RENT",1,"EDUCATION","F",24000,18.3,"1",0.16,"N",2,11.9049675527463
22,18000,"OWN",1,"MEDICAL","D",5400,15.31,"1",0.3,"Y",2,9.7981270368783
26,69846,"RENT",2,"EDUCATION","F",22500,18.99,"1",0.32,"Y",2,11.1540480974763
25,43000,"RENT",9,"HOMEIMPROVEMENT","C",22000,13.11,"1",0.51,"N",2,10.6689553946757
24,80000,"RENT",0,"MEDICAL","A",22000,NA,"0",0.28,"N",4,11.289781913656
25,77650,"RENT",8,"PERSONAL","B",22000,11.48,"1",0.28,"N",3,11.2599668285768
26,63000,"RENT",2,"DEBTCONSOLIDATION","C",21600,14.35,"1",0.34,"Y",3,11.0508900053737
22,82000,"RENT",3,"PERSONAL","C",21600,13.61,"0",0.26,"Y",3,11.3144745262464
22,19200,"OWN",0,"VENTURE","B",2400,10.59,"0",0.13,"N",3,9.86266555801587
24,59000,"RENT",5,"MEDICAL","D",21500,16.89,"1",0.36,"N",3,10.9852927228879
22,19200,"MORTGAGE",6,"DEBTCONSOLIDATION","C",5000,14.17,"1",0.26,"Y",2,9.86266555801587
24,56000,"RENT",8,"VENTURE","D",21250,15.95,"1",0.38,"Y",3,10.9331069697173
22,75000,"RENT",2,"EDUCATION","B",21000,10,"0",0.28,"N",3,11.2252433925184
25,1e+05,"RENT",2,"PERSONAL","D",21000,16.49,"1",0.21,"Y",3,11.5129254649702
21,19253,"MORTGAGE",NA,"DEBTCONSOLIDATION","A",6250,6.17,"1",0.32,"N",3,9.86542217172934
26,125000,"RENT",5,"HOMEIMPROVEMENT","A",21000,8.9,"0",0.17,"N",2,11.7360690162844
23,70000,"RENT",2,"EDUCATION","C",20500,13.16,"0",0.29,"Y",3,11.1562505210315
NA,80004,"RENT",2,"EDUCATION","B",20400,10.25,"0",0.25,"N",3,11.2898319124061
24,33000,"RENT",1,"DEBTCONSOLIDATION","B",20000,10.99,"1",0.61,"N",3,10.4042628404486
21,36000,"RENT",5,"MEDICAL","D",20000,NA,"1",0.56,"Y",2,10.4912742174382
22,42224,"RENT",7,"VENTURE","A",20000,6.99,"1",0.47,"N",4,10.6507440587431
22,42000,"RENT",1,"PERSONAL","D",20000,12.99,"1",0.48,"N",3,10.6454248972655
22,20000,"OWN",1,"VENTURE","C",5000,14.72,"0",0.25,"N",3,9.90348755253613
25,51996,"RENT",9,"VENTURE","B",20000,10.99,"1",0.38,"N",3,10.8589220715279
25,46000,"RENT",9,"DEBTCONSOLIDATION","C",20000,11.78,"1",0.43,"Y",2,10.7363966754712
23,48000,"RENT",7,"MEDICAL","D",20000,15.65,"1",0.42,"N",4,10.77895628989
24,55000,"RENT",8,"HOMEIMPROVEMENT","A",20000,6.91,"1",0.36,"N",2,10.9150884642146
22,58000,"RENT",0,"DEBTCONSOLIDATION","C",20000,13.11,"1",0.34,"N",2,10.9681982895286
21,20400,"OWN",2,"EDUCATION","C",1275,15.23,"0",0.06,"Y",3,9.92329017983231
21,20400,"OWN",5,"MEDICAL","B",2400,11.49,"0",0.12,"N",4,9.92329017983231
24,60000,"RENT",8,"PERSONAL","D",20000,13.87,"1",0.33,"N",4,11.0020998412042
25,62400,"RENT",7,"VENTURE","B",20000,11.48,"1",0.32,"N",2,11.0413205543575
24,67000,"RENT",5,"HOMEIMPROVEMENT","C",20000,13.48,"0",0.3,"Y",2,11.1124478983731
22,70000,"RENT",2,"PERSONAL","A",20000,6.91,"0",0.29,"N",4,11.1562505210315
25,64000,"RENT",0,"HOMEIMPROVEMENT","E",20000,NA,"1",0.31,"N",4,11.0666383623418
23,55392,"RENT",3,"MEDICAL","D",20000,15.2,"1",0.31,"Y",4,10.9221904579759
24,72000,"RENT",5,"MEDICAL","B",20000,11.83,"0",0.28,"N",2,11.1844213979982
21,21216,"MORTGAGE",5,"HOMEIMPROVEMENT","D",4500,NA,"1",0.21,"Y",2,9.96251089298559
25,21221,"MORTGAGE",4,"VENTURE","B",8500,9.63,"0",0.4,"N",4,9.96274653641105
26,70000,"RENT",7,"DEBTCONSOLIDATION","C",20000,13.16,"1",0.29,"N",3,11.1562505210315
21,21600,"OWN",NA,"VENTURE","A",7125,6.99,"0",0.33,"N",3,9.98044859367226
NA,78000,"RENT",7,"VENTURE","B",20000,NA,"0",0.26,"N",4,11.2644641056717
22,62900,"RENT",6,"MEDICAL","D",20000,14.91,"1",0.27,"N",4,11.0493014426885
25,80000,"RENT",7,"EDUCATION","B",20000,8.88,"0",0.25,"N",4,11.289781913656
22,82000,"RENT",6,"EDUCATION","C",20000,NA,"0",0.24,"Y",2,11.3144745262464
22,76654,"RENT",2,"EDUCATION","C",20000,13.79,"1",0.26,"Y",4,11.247057068196
26,21600,"OWN",NA,"VENTURE","A",3000,6.76,"0",0.14,"N",2,9.98044859367226
25,84000,"RENT",9,"EDUCATION","C",20000,13.92,"0",0.24,"N",2,11.3385720778255
22,87000,"RENT",5,"DEBTCONSOLIDATION","C",20000,13.85,"0",0.23,"N",4,11.3736633976367
26,90000,"RENT",10,"MEDICAL","B",20000,11.49,"0",0.22,"N",3,11.4075649493124
23,90000,"RENT",0,"DEBTCONSOLIDATION","C",20000,13.57,"0",0.22,"N",4,11.4075649493124
23,83000,"RENT",7,"DEBTCONSOLIDATION","C",20000,NA,"1",0.24,"N",2,11.3265958867787
22,98000,"RENT",2,"EDUCATION","B",20000,11.83,"0",0.2,"N",4,11.4927227576527
24,22000,"OWN",1,"DEBTCONSOLIDATION","D",3000,16,"0",0.14,"Y",2,9.99879773234045
21,22000,"OWN",2,"DEBTCONSOLIDATION","D",4000,15.05,"0",0.18,"N",4,9.99879773234045
26,104000,"RENT",0,"DEBTCONSOLIDATION","B",20000,10.74,"0",0.19,"N",2,11.5521461781235
23,110000,"RENT",3,"EDUCATION","B",20000,12.42,"0",0.18,"N",3,11.6082356447746
22,110000,"RENT",6,"DEBTCONSOLIDATION","C",20000,13.72,"0",0.18,"N",3,11.6082356447746
24,22800,"OWN",3,"HOMEIMPROVEMENT","B",4750,11.36,"0",0.21,"N",3,10.0345158149425
25,140000,"RENT",9,"EDUCATION","A",20000,6.54,"0",0.14,"N",4,11.8493977015914
22,160000,"RENT",6,"PERSONAL","A",20000,7.49,"0",0.13,"N",4,11.982929094216
21,23000,"MORTGAGE",6,"DEBTCONSOLIDATION","C",3000,13.35,"0",0.13,"N",3,10.0432494949113
