"person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length","log_person_income"
21,9600,"OWN",5,"EDUCATION","B",1000,11.14,"0",0.1,"N",2,9.16951837745593
25,9600,"MORTGAGE",1,"MEDICAL","C",5500,12.87,"1",0.57,"N",3,9.16951837745593
23,65500,"RENT",4,"MEDICAL","C",35000,15.23,"1",0.53,"N",2,11.0898054216233
21,9900,"OWN",2,"VENTURE","A",2500,7.14,"1",0.25,"N",2,9.20029003612268
24,78956,"RENT",5,"MEDICAL","B",35000,11.11,"1",0.44,"N",4,11.2766460142629
24,83000,"RENT",8,"PERSONAL","A",35000,8.9,"1",0.42,"N",2,11.3265958867787
22,85000,"RENT",6,"VENTURE","B",35000,10.37,"1",0.41,"N",4,11.3504065354725
26,108160,"RENT",4,"EDUCATION","E",35000,18.39,"1",0.32,"N",4,11.5913668912768
23,5e+05,"MORTGAGE",7,"DEBTCONSOLIDATION","B",30000,10.65,"0",0.06,"N",3,13.1223633774043
23,92111,"RENT",7,"MEDICAL","F",35000,20.25,"1",0.32,"N",4,11.4307496505079
25,137000,"RENT",9,"PERSONAL","E",34800,16.77,"0",0.25,"Y",2,11.8277362048103
24,10980,"OWN",0,"PERSONAL","A",1500,7.29,"0",0.14,"N",3,9.30383071506352
24,65000,"RENT",6,"HOMEIMPROVEMENT","B",32500,9.99,"1",0.5,"N",3,11.0821425488778
21,11520,"OWN",5,"MEDICAL","B",2000,11.12,"1",0.17,"N",3,9.35183993424988
26,95000,"RENT",7,"HOMEIMPROVEMENT","C",31050,14.17,"1",0.33,"Y",3,11.4616321705827
25,306000,"RENT",2,"DEBTCONSOLIDATION","C",24250,13.85,"0",0.08,"N",3,12.6313403809345
26,62050,"RENT",6,"MEDICAL","E",30000,17.99,"1",0.41,"N",2,11.0356957906328
